Academic Year,County Code,District Code,School Code,District Name,School Name,Altitude,Enrollment (K-12),Adjusted FRPM Count (K-12),Percent,PercentQualifiedAbove,PercentAffordAbove,PercentQualifiedBelow,PercentAffordBelow,Number,Charter School Number,Charter Funding Type,Low Grade,High Grade,LowHigh,Name2,Address,City,Zip,phone,Normalized Address,Latitude,Longitude
2013-14,1,61259,137943,Oakland Unified,Skyline High,334.5629883,1781,"1,337",0.750701853,0.750701853,0.249298147,0.755060815,0.244939185,1,,,9,12,9 to 12,Skyline High,12250 Skyline Blvd.,Oakland,94619-2425,(510)_482-7109,"12250 Skyline Boulevard, Oakland, CA 94619, USA",37.7978197,-122.1639333
2013-14,1,61259,6057079,Oakland Unified,Montera Middle,212.118103,945,484,0.512169312,0.668011739,0.331988261,0.755232391,0.244767609,2,,,6,8,6 to 8,Montera Middle,5555 Ascot Dr.,Oakland,94611-3001,(510)_531-6070,"5555 Ascot Drive, Oakland, CA 94611, USA",37.819656,-122.2017352
2013-14,1,61259,6001697,Oakland Unified,Carl B. Munck Elementary,210.1454468,301,214,0.710963455,0.672282788,0.327717212,0.760417137,0.239582863,3,,,K,5,K to 5,Carl B. Munck Elementary,11900 Campus Dr.,Oakland,94619-3104,(510)_531-4900,"11900 Campus Drive, Oakland, CA 94619, USA",37.79522,-122.174062
2013-14,1,61259,6001945,Oakland Unified,Joaquin Miller Elementary,204.5884705,422,71,0.168246445,0.610611772,0.389388228,0.760755437,0.239244563,4,,,K,5,K to 5,Joaquin Miller Elementary,5525 Ascot Dr.,Oakland,94611-3001,(510)_531-6688,"5525 Ascot Drive, Oakland, CA 94611, USA",37.8188596,-122.2017566
2013-14,1,61259,6001895,Oakland Unified,Kaiser Elementary,191.655426,274,86,0.313868613,0.588772495,0.411227505,0.766493036,0.233506964,5,,,K,5,K to 5,Kaiser Elementary,25 South Hill Ct.,Oakland,94618-2306,(510)_549-4900,"25 South Hill Court, Oakland, CA 94618, USA",37.8534934,-122.2319551
2013-14,1,61259,6002083,Oakland Unified,Montclair Elementary,185.763504,548,66,0.120437956,0.528681808,0.471318192,0.769356887,0.230643113,6,,,K,5,K to 5,Montclair Elementary,1757 Mountain Blvd.,Oakland,94611-2259,(510)_339-6100,"1757 Mountain Boulevard, Oakland, CA 94611, USA",37.8309947,-122.2130084
2013-14,1,61259,6002216,Oakland Unified,Thornhill Elementary,182.7935638,386,39,0.101036269,0.493235989,0.506764011,0.777673831,0.222326169,7,,,K,5,K to 5,Thornhill Elementary,5880 Thornhill Dr.,Oakland,94611-2147,(510)_339-6800,"5880 Thornhill Drive, Oakland, CA 94611, USA",37.8361648,-122.2115974
2013-14,1,61259,114454,Oakland Unified,Conservatory of Vocal/Instrumental Arts,170.3032532,231,127,0.54978355,0.495908347,0.504091653,0.783838002,0.216161998,8,864,Directly funded,K,8,K to 8,Conservatory of Vocal/Instrumental Arts,3800 Mountain Blvd.,Oakland,94619-1630,(510)_285-7511,"3800 Mountain Boulevard, Oakland, CA 94619, USA",37.7997423,-122.1845847
2013-14,1,61259,6002141,Oakland Unified,Redwood Heights Elementary,134.4684753,364,90,0.247252747,0.478674791,0.521325209,0.785121025,0.214878975,9,,,K,5,K to 5,Redwood Heights Elementary,4401 39th Ave.,Oakland,94619-1614,(510)_531-6644,"4401 39th Avenue, Oakland, CA 94619, USA",37.7974594,-122.1861713
2013-14,1,61259,6001911,Oakland Unified,Hillcrest Elementary,133.5681458,346,14,0.040462428,0.451589854,0.548410146,0.789807545,0.210192455,10,,,K,8,K to 8,Hillcrest Elementary,30 Marguerite Dr.,Oakland,94618-2230,(510)_654-6590,"30 Marguerite Drive, Oakland, CA 94618, USA",37.8404373,-122.2324047
