Academic Year,County Code,District Code,School Code,District Name,School Name,Charter School Number,Charter Funding Type,Low Grade,High Grade,Enrollment (K-12),Adjusted FRPM Count (K-12),Percent,LowHigh,Name2,Address,City,Zip,phone,Normalized Address,Latitude,Longitude,Altitude,Normalized Address,Latitude,Longitude,Altitude
2013-14,1,61259,125856,Oakland Unified,100 Black Men of the Bay Area Community,1399,Directly funded,K,12,103,60,0.582524272,K to 12,100 Black Men of the Bay Area Community,3400 Malcolm Ave.,Oakland,94607-1404,(510)_763-3661,"3400 Malcolm Avenue, Oakland, CA 94605, USA",37.7461715,-122.1412179,116.1082534790039,"3400 Malcolm Avenue, Oakland, CA 94605, USA",37.7461715,-122.1412179,116.1082534790039
2013-14,1,61259,111476,Oakland Unified,Achieve Academy,780,Directly funded,4,5,207,207,1,4 to 5,Achieve Academy,1700 28th Ave.,Oakland,94601-2455,(510)_904-6440,"1700 28th Avenue, Oakland, CA 94601, USA",37.782342,-122.226161,19.5949535369873,"1700 28th Avenue, Oakland, CA 94601, USA",37.782342,-122.226161,19.5949535369873
2013-14,1,61259,6002273,Oakland Unified,ACORN Woodland Elementary,,,K,5,285,268,0.940350877,K to 5,ACORN Woodland Elementary,1025 81st Ave.,Oakland,94621-2455,(510)_639-3344,"1025 81st Avenue, Oakland, CA 94621, USA",37.7528862,-122.1869131,5.203295230865479,"1025 81st Avenue, Oakland, CA 94621, USA",37.7528862,-122.1869131,5.203295230865479
2013-14,1,61259,6001630,Oakland Unified,Allendale Elementary,,,K,5,385,362,0.94025974,K to 5,Allendale Elementary,3670 Penniman Ave.,Oakland,94619-1116,(510)_535-2812,"3670 Penniman Avenue, Oakland, CA 94619, USA",37.7885972,-122.204787,49.64424896240234,"3670 Penniman Avenue, Oakland, CA 94619, USA",37.7885972,-122.204787,49.64424896240234
2013-14,1,61259,112771,Oakland Unified,Alliance Academy,,,6,8,390,367,0.941025641,6 to 8,Alliance Academy,1800 98th Ave.,Oakland,94603-2702,(510)_639-2893,"1800 98th Avenue, Oakland, CA 94603, USA",37.7460375,-122.1653968,10.4210844039917,"1800 98th Avenue, Oakland, CA 94603, USA",37.7460375,-122.1653968,10.4210844039917
2013-14,1,61259,6113807,Oakland Unified,American Indian Public Charter,106,Locally funded,5,8,198,153,0.772727273,5 to 8,American Indian Public Charter,3637 Magee Ave.,Oakland,94619,(510)_482-6000,"3637 Magee Avenue, Oakland, CA 94619, USA",37.7937362,-122.1993536,65.4382095336914,"3637 Magee Avenue, Oakland, CA 94619, USA",37.7937362,-122.1993536,65.4382095336914
2013-14,1,61259,114363,Oakland Unified,American Indian Public Charter School II,882,Directly funded,K,8,483,357,0.739130435,K to 8,American Indian Public Charter School II,171 12th St.,Oakland,94607-4900,(510)_893-8701,"171 12th Street, Oakland, CA 94607, USA",37.8001539,-122.265589,11.32755947113037,"171 12th Street, Oakland, CA 94607, USA",37.8001539,-122.265589,11.32755947113037
2013-14,1,61259,111856,Oakland Unified,American Indian Public High,765,Locally funded,9,12,149,121,0.812080537,9 to 12,American Indian Public High,3637 Magee Ave.,Oakland,94619,(510)_482-6000,"3637 Magee Avenue, Oakland, CA 94619, USA",37.7937362,-122.1993536,65.4382095336914,"3637 Magee Avenue, Oakland, CA 94619, USA",37.7937362,-122.1993536,65.4382095336914
2013-14,1,61259,115238,Oakland Unified,ARISE High,837,Directly funded,9,12,247,233,0.943319838,9 to 12,ARISE High,"3301 East 12th St., Ste. 205",Oakland,94601-2940,(510)_436-5487,"3301 East 12th Street #205, Oakland, CA 94601, USA",37.7758226,-122.2247846,12.15476226806641,"3301 East 12th Street #205, Oakland, CA 94601, USA",37.7758226,-122.2247846,12.15476226806641
2013-14,1,61259,6118608,Oakland Unified,ASCEND,1443,Directly funded,K,8,434,398,0.917050691,K to 8,ASCEND,3709 East 12th St.,Oakland,94601,(510)_534-7252,"3709 East 12th Street, Oakland, CA 94601, USA",37.773589,-122.2215593,10.45206642150879,"3709 East 12th Street, Oakland, CA 94601, USA",37.773589,-122.2215593,10.45206642150879
2013-14,1,61259,109819,Oakland Unified,Aspire Berkley Maynard Academy,726,Directly funded,K,8,561,452,0.8057041,K to 8,Aspire Berkley Maynard Academy,6200 San Pablo Ave.,Oakland,94608-2228,(510)_658-2900,"6200 San Pablo Avenue, Oakland, CA 94608, USA",37.8452516,-122.284362,12.1214599609375,"6200 San Pablo Avenue, Oakland, CA 94608, USA",37.8452516,-122.284362,12.1214599609375
2013-14,1,61259,128413,Oakland Unified,Aspire College Academy,1577,Directly funded,K,5,254,244,0.960629921,K to 5,Aspire College Academy,8030 Atherton St.,Oakland,94605,(510)_562-8030,"8030 Atherton Street, Oakland, CA 94605, USA",37.7612383,-122.1708251,17.25121688842773,"8030 Atherton Street, Oakland, CA 94605, USA",37.7612383,-122.1708251,17.25121688842773
